Z_ion,Z_target,E_proj[keV/u],Theory_ID,Cross_section[cm2],is_exp,Uncertainty[%]
1,1,255.7720,Exp_1960Fite,5.00E-17,1,50
1,1,751.6570,Exp_1960Fite,9.94E-17,1,21
1,1,2301.950,Exp_1960Fite,1.36E-16,1,18
1,1,5016.269,Exp_1960Fite,1.51E-16,1,19
1,1,8774.555,Exp_1960Fite,1.50E-16,1,17
1,1,60.0770,Exp_1963Gilbody,1.91452e-16,1,20
1,1,83.5050,Exp_1963Gilbody,1.60523e-16,1,20
1,1,83.6270,Exp_1963Gilbody,1.78563e-16,1,20
1,1,95.7370,Exp_1963Gilbody,1.46880e-16,1,20
1,1,108.822,Exp_1963Gilbody,1.40124e-16,1,20
1,1,109.098,Exp_1963Gilbody,1.21069e-16,1,20
1,1,128.624,Exp_1963Gilbody,1.10632e-16,1,20
1,1,160.079,Exp_1963Gilbody,1.01756e-16,1,20
1,1,178.745,Exp_1963Gilbody,0.83621e-16,1,20
1,1,184.055,Exp_1963Gilbody,0.92108e-16,1,20
1,1,198.482,Exp_1963Gilbody,0.74602e-16,1,20
1,1,225.422,Exp_1963Gilbody,0.85209e-16,1,20
1,1,225.697,Exp_1963Gilbody,0.65951e-16,1,20
1,1,259.745,Exp_1963Gilbody,0.82197e-16,1,20
1,1,270.705,Exp_1963Gilbody,0.59642e-16,1,20
1,1,298.763,Exp_1963Gilbody,0.56256e-16,1,20
1,1,333.699,Exp_1963Gilbody,0.54255e-16,1,20
1,1,368.648,Exp_1963Gilbody,0.54280e-16,1,20
2,2,45.0,Exp_1969Pucket,1.37e-16,1,5
2,2,50.0,Exp_1969Pucket,1.55e-16,1,5
2,2,62.5,Exp_1969Pucket,1.93e-16,1,5
2,2,75.0,Exp_1969Pucket,2.21e-16,1,5
2,2,87.5,Exp_1969Pucket,2.44e-16,1,5
2,2,100.0,Exp_1969Pucket,2.47e-16,1,5
2,2,125.0,Exp_1969Pucket,2.51e-16,1,5
2,2,150.0,Exp_1969Pucket,2.50e-16,1,5
2,2,175.0,Exp_1969Pucket,2.43e-16,1,5
2,2,200.0,Exp_1969Pucket,2.30e-16,1,5
2,2,225.0,Exp_1969Pucket,2.19e-16,1,5
2,2,250.0,Exp_1969Pucket,2.06e-16,1,5
2,18,50.0,Exp_1969Pucket,16.3e-16,1,5
2,18,62.5,Exp_1969Pucket,16.8e-16,1,5
2,18,75.0,Exp_1969Pucket,17.2e-16,1,5
2,18,87.5,Exp_1969Pucket,17.3e-16,1,5
2,18,100.0,Exp_1969Pucket,17.3e-16,1,5
2,18,125.0,Exp_1969Pucket,16.7e-16,1,5
2,18,150.0,Exp_1969Pucket,16.2e-16,1,5
2,18,175.0,Exp_1969Pucket,15.6e-16,1,5
2,18,200.0,Exp_1969Pucket,14.9e-16,1,5
2,18,225.0,Exp_1969Pucket,14.3e-16,1,5
2,18,250.0,Exp_1969Pucket,13.7e-16,1,5
1,2,5.0,Exp_1976Rudd_RuddMadison,2.80e-17,1,25
1,2,7.0,Exp_1976Rudd_RuddMadison,3.01e-17,1,25
1,2,10.0,Exp_1976Rudd_RuddMadison,3.88e-17,1,25
1,2,15.0,Exp_1976Rudd_RuddMadison,4.49e-17,1,25
1,2,20.0,Exp_1976Rudd_RuddMadison,5.03e-17,1,25
1,2,30.0,Exp_1976Rudd_RuddMadison,6.08e-17,1,25
1,2,50.0,Exp_1976Rudd_RuddMadison,8.58e-17,1,25
1,2,70.0,Exp_1976Rudd_RuddMadison,1.00e-16,1,25
1,2,100.0,Exp_1976Rudd_RuddMadison,1.06e-16,1,25
1,2,50.0,Exp_1976Rudd_RuddJorgensen,7.94e-17,1,25
1,2,100.0,Exp_1976Rudd_RuddJorgensen,9.20e-17,1,25
1,2,150.0,Exp_1976Rudd_RuddJorgensen,8.04e-17,1,25
1,2,100.0,Exp_1976Rudd_RuddSautterBailey,1.20e-16,1,25
1,2,200.0,Exp_1976Rudd_RuddSautterBailey,8.95e-17,1,25
1,2,300.0,Exp_1976Rudd_RuddSautterBailey,7.14e-17,1,25
1,2,300.0,Exp_1976Rudd_Toburen,5.29e-17,1,25
1,2,1000.0,Exp_1976Rudd_Toburen,1.94e-17,1,25
1,2,1500.0,Exp_1976Rudd_Toburen,1.66e-17,1,25
1,2,300.0,Exp_1976Rudd_Stolterfoht,7.16e-17,1,25
1,2,500.0,Exp_1976Rudd_Stolterfoht,4.46e-17,1,25
1,2,4200.0,Exp_1976Rudd_Stolterfoht,7.21e-18,1,25
1,2,5000.0,Exp_1976Rudd_Stolterfoht,5.81e-18,1,25
1,1,25.4790,Exp_1977Park,1.30121,1,30
1,1,51.1840,Exp_1977Park,2.49343,1,25
1,1,76.1520,Exp_1977Park,2.31663,1,17
1,1,145.702,Exp_1977Park,1.20311,1,18
1,1,200.472,Exp_1977Park,1.00492,1,21
1,18,5.0,Exp_1979Rudd_CriswellToburen,9.30e-17,1,25
1,18,10.0,Exp_1979Rudd_CriswellToburen,1.64e-16,1,25
1,18,20.0,Exp_1979Rudd_CriswellToburen,3.37e-16,1,25
1,18,50.0,Exp_1979Rudd_CriswellToburen,4.69e-16,1,25
1,18,5.0,Exp_1979Rudd_Rudd,1.52e-16,1,25
1,18,7.0,Exp_1979Rudd_Rudd,1.88e-16,1,25
1,18,10.0,Exp_1979Rudd_Rudd,2.34e-16,1,25
1,18,15.0,Exp_1979Rudd_Rudd,3.00e-16,1,25
1,18,20.0,Exp_1979Rudd_Rudd,3.98e-16,1,25
1,18,30.0,Exp_1979Rudd_Rudd,4.65e-16,1,25
1,18,50.0,Exp_1979Rudd_Rudd,5.05e-16,1,25
1,18,70.0,Exp_1979Rudd_Rudd,5.25e-16,1,25
1,18,50.0,Exp_1979Rudd_CrooksRudd,5.16e-16,1,25
1,18,100.0,Exp_1979Rudd_CrooksRudd,5.21e-16,1,25
1,18,150.0,Exp_1979Rudd_CrooksRudd,4.60e-16,1,25
1,18,200.0,Exp_1979Rudd_CrooksRudd,3.99e-16,1,25
1,18,250.0,Exp_1979Rudd_CrooksRudd,3.46e-16,1,25
1,18,300.0,Exp_1979Rudd_CrooksRudd,3.03e-16,1,25
1,18,250.0,Exp_1979Rudd_Toburen,3.18e-16,1,25
1,18,300.0,Exp_1979Rudd_Toburen,3.08e-16,1,25
1,18,500.0,Exp_1979Rudd_Toburen,2.20e-16,1,25
1,18,1000.0,Exp_1979Rudd_Toburen,1.24e-16,1,25
1,18,1500.0,Exp_1979Rudd_Toburen,9.90e-17,1,25
1,18,2000.0,Exp_1979Rudd_Toburen,4.12e-17,1,25
1,18,3000.0,Exp_1979Rudd_Toburen,3.49e-17,1,25
1,18,3670.0,Exp_1979Rudd_Toburen,3.06e-17,1,25
1,18,4200.0,Exp_1979Rudd_Toburen,2.09e-17,1,25
1,18,300.0,Exp_1979Rudd_GablerStoltetfohtLeithauser,3.48e-16,1,25
1,18,400.0,Exp_1979Rudd_GablerStoltetfohtLeithauser,2.97e-16,1,25
1,18,500.0,Exp_1979Rudd_GablerStoltetfohtLeithauser,2.52e-16,1,25
1,18,4200.0,Exp_1979Rudd_GablerStoltetfohtLeithauser,6.28e-17,1,25
1,18,5000.0,Exp_1979Rudd_GablerStoltetfohtLeithauser,5.80e-17,1,25
2,18,75.0,Exp_1979Toburen,1.8696e-15,1,25
2,18,200.0,Exp_1979Toburen,1.36129e-15,1,25
2,18,300.0,Exp_1979Toburen,1.14761e-15,1,25
2,18,400.0,Exp_1979Toburen,1.05539e-15,1,25
2,18,500.0,Exp_1979Toburen,8.4521e-16,1,25
1,1,38,Exp_1981Shah,0.64e-17,1,5
1,1,45,Exp_1981Shah,0.49e-17,1,4
1,1,54,Exp_1981Shah,0.56e-17,1,4
1,1,67,Exp_1981Shah,0.43e-17,1,3
1,1,80,Exp_1981Shah,0.45e-17,1,4
1,1,100,Exp_1981Shah,0.33e-17,1,3
1,1,110,Exp_1981Shah,0.32e-17,1,3
1,1,140,Exp_1981Shah,0.27e-17,1,3
1,1,160,Exp_1981Shah,0.26e-17,1,3
1,1,180,Exp_1981Shah,0.25e-17,1,3
1,1,200,Exp_1981Shah,0.21e-17,1,3
1,1,230,Exp_1981Shah,0.21e-17,1,3
1,1,260,Exp_1981Shah,0.19e-17,1,3
1,1,300,Exp_1981Shah,0.16e-17,1,3
1,1,350,Exp_1981Shah,0.14e-17,1,3
1,1,400,Exp_1981Shah,0.10e-17,1,2
1,1,450,Exp_1981Shah,0.13e-17,1,4
1,1,500,Exp_1981Shah,0.12e-17,1,4
1,1,550,Exp_1981Shah,0.10e-17,1,3
1,1,600,Exp_1981Shah,0.12e-17,1,4
1,1,700,Exp_1981Shah,0.11e-17,1,4
1,1,800,Exp_1981Shah,0.07e-17,1,3
1,1,900,Exp_1981Shah,0.07e-17,1,3
1,1,1000,Exp_1981Shah,0.06e-17,1,3
1,1,1150,Exp_1981Shah,0.07e-17,1,4
1,1,1300,Exp_1981Shah,0.07e-17,1,4
1,1,1500,Exp_1981Shah,0.06e-17,1,4
2,1,125,Exp_1981Shah,2.32e-16,1,3
2,1,150,Exp_1981Shah,3.13e-16,1,3
2,1,175,Exp_1981Shah,3.60e-16,1,3
2,1,200,Exp_1981Shah,3.89e-16,1,3
2,1,250,Exp_1981Shah,4.31e-16,1,3
2,1,300,Exp_1981Shah,4.14e-16,1,3
2,1,400,Exp_1981Shah,3.80e-16,1,3
2,1,500,Exp_1981Shah,3.41e-16,1,3
2,1,600,Exp_1981Shah,3.05e-16,1,3
2,1,700,Exp_1981Shah,2.78e-16,1,3
2,1,800,Exp_1981Shah,2.53e-16,1,3
2,1,1000,Exp_1981Shah,2.16e-16,1,3
2,1,1200,Exp_1981Shah,1.89e-16,1,4
2,1,1400,Exp_1981Shah,1.70e-16,1,4
2,1,1600,Exp_1981Shah,1.55e-16,1,3
2,1,1900,Exp_1981Shah,1.35e-16,1,3
2,1,2200,Exp_1981Shah,1.18e-16,1,3
1,2,5,Exp_1983Rudd,0.025e-16,1,25
1,2,7,Exp_1983Rudd,0.045e-16,1,25
1,2,10,Exp_1983Rudd,0.084e-16,1,20
1,2,15,Exp_1983Rudd,0.164e-16,1,20
1,2,20,Exp_1983Rudd,0.256e-16,1,20
1,2,30,Exp_1983Rudd,0.445e-16,1,15
1,2,50,Exp_1983Rudd,0.743e-16,1,15
1,2,70,Exp_1983Rudd,0.888e-16,1,15
1,2,100,Exp_1983Rudd,0.923e-16,1,10
1,2,150,Exp_1983Rudd,0.826e-16,1,10
1,2,200,Exp_1983Rudd,0.714e-16,1,10
1,2,300,Exp_1983Rudd,0.551e-16,1,10
1,2,500,Exp_1983Rudd,0.379e-16,1,8
1,2,700,Exp_1983Rudd,0.291e-16,1,8
1,2,1000,Exp_1983Rudd,0.219e-16,1,8
1,2,1500,Exp_1983Rudd,0.157e-16,1,8
1,2,2000,Exp_1983Rudd,0.123e-16,1,8
1,2,3000,Exp_1983Rudd,0.088e-16,1,8
1,2,5000,Exp_1983Rudd,0.057e-16,1,8
1,10,5,Exp_1983Rudd,0.175e-16,1,25
1,10,7,Exp_1983Rudd,0.268e-16,1,25
1,10,10,Exp_1983Rudd,0.412e-16,1,20
1,10,15,Exp_1983Rudd,0.642e-16,1,20
1,10,20,Exp_1983Rudd,0.848e-16,1,20
1,10,30,Exp_1983Rudd,1.170e-16,1,15
1,10,50,Exp_1983Rudd,1.530e-16,1,15
1,10,70,Exp_1983Rudd,1.660e-16,1,15
1,10,100,Exp_1983Rudd,1.680e-16,1,10
1,10,150,Exp_1983Rudd,1.580e-16,1,10
1,10,200,Exp_1983Rudd,1.450e-16,1,10
1,10,300,Exp_1983Rudd,1.220e-16,1,10
1,10,500,Exp_1983Rudd,0.930e-16,1,8
1,10,700,Exp_1983Rudd,0.758e-16,1,8
1,10,1000,Exp_1983Rudd,0.600e-16,1,8
1,10,1500,Exp_1983Rudd,0.452e-16,1,8
1,10,2000,Exp_1983Rudd,0.367e-16,1,8
1,10,3000,Exp_1983Rudd,0.271e-16,1,8
1,10,5000,Exp_1983Rudd,0.182e-16,1,8
1,18,5,Exp_1983Rudd,2.030e-16,1,25
1,18,7,Exp_1983Rudd,2.650e-16,1,25
1,18,10,Exp_1983Rudd,3.410e-16,1,20
1,18,15,Exp_1983Rudd,4.360e-16,1,20
1,18,20,Exp_1983Rudd,5.030e-16,1,20
1,18,30,Exp_1983Rudd,5.840e-16,1,15
1,18,50,Exp_1983Rudd,6.400e-16,1,15
1,18,70,Exp_1983Rudd,6.360e-16,1,15
1,18,100,Exp_1983Rudd,5.970e-16,1,10
1,18,150,Exp_1983Rudd,5.190e-16,1,10
1,18,200,Exp_1983Rudd,4.520e-16,1,10
1,18,300,Exp_1983Rudd,3.580e-16,1,10
1,18,500,Exp_1983Rudd,2.530e-16,1,8
1,18,700,Exp_1983Rudd,1.970e-16,1,8
1,18,1000,Exp_1983Rudd,1.490e-16,1,8
1,18,1500,Exp_1983Rudd,1.080e-16,1,8
1,18,2000,Exp_1983Rudd,0.847e-16,1,8
1,18,3000,Exp_1983Rudd,0.602e-16,1,8
1,18,5000,Exp_1983Rudd,0.388e-16,1,8
1,36,5,Exp_1983Rudd,2.570e-16,1,25
1,36,7,Exp_1983Rudd,3.350e-16,1,25
1,36,10,Exp_1983Rudd,4.300e-16,1,20
1,36,15,Exp_1983Rudd,5.480e-16,1,20
1,36,20,Exp_1983Rudd,6.310e-16,1,20
1,36,30,Exp_1983Rudd,7.330e-16,1,15
1,36,50,Exp_1983Rudd,8.100e-16,1,15
1,36,70,Exp_1983Rudd,8.150e-16,1,15
1,36,100,Exp_1983Rudd,7.790e-16,1,10
1,36,150,Exp_1983Rudd,6.970e-16,1,10
1,36,200,Exp_1983Rudd,6.210e-16,1,10
1,36,300,Exp_1983Rudd,5.060e-16,1,10
1,36,500,Exp_1983Rudd,3.700e-16,1,8
1,36,700,Exp_1983Rudd,2.940e-16,1,8
1,36,1000,Exp_1983Rudd,2.260e-16,1,8
1,36,1500,Exp_1983Rudd,1.660e-16,1,8
1,36,2000,Exp_1983Rudd,1.320e-16,1,8
1,36,3000,Exp_1983Rudd,0.946e-16,1,8
1,36,5000,Exp_1983Rudd,0.617e-16,1,8
2,2,16.7,Exp_1987DuBois,0.0785e-16,1,15
2,2,33.3,Exp_1987DuBois,0.186e-16,1,25
2,2,50,Exp_1987DuBois,0.623e-16,1,15
2,2,66.7,Exp_1987DuBois,1.10e-16,1,15
2,2,50,Exp_1987DuBois,0.949e-16,1,15
2,2,75,Exp_1987DuBois,1.66e-16,1,15
2,2,100,Exp_1987DuBois,2.35e-16,1,15
2,2,175,Exp_1987DuBois,2.18e-16,1,15
2,2,250,Exp_1987DuBois,2.20e-16,1,15
2,2,375,Exp_1987DuBois,1.66e-16,1,15
2,2,500,Exp_1987DuBois,1.39e-16,1,15
2,10,16.7,Exp_1987DuBois,0.0882,1,15
2,10,33.3,Exp_1987DuBois,0.615,1,15
2,10,50,Exp_1987DuBois,1.21,1,15
2,10,66.7,Exp_1987DuBois,1.53,1,15
2,10,50,Exp_1987DuBois,1.64,1,15
2,10,75,Exp_1987DuBois,1.97,1,15
2,10,100,Exp_1987DuBois,2.48,1,15
2,10,175,Exp_1987DuBois,2.77,1,15
2,10,250,Exp_1987DuBois,2.85,1,15
2,10,375,Exp_1987DuBois,3.02,1,15
2,10,500,Exp_1987DuBois,3.10,1,15
2,18,10,Exp_1987DuBois,0.187,1,15
2,18,16.7,Exp_1987DuBois,0.638,1,15
2,18,33.3,Exp_1987DuBois,3.08,1,15
2,18,50,Exp_1987DuBois,5.18,1,15
2,18,66.7,Exp_1987DuBois,6.28,1,15
2,18,50,Exp_1987DuBois,5.30,1,15
2,18,75,Exp_1987DuBois,6.77,1,15
2,18,100,Exp_1987DuBois,7.02,1,15
2,18,175,Exp_1987DuBois,6.84,1,15
2,18,250,Exp_1987DuBois,8.87,1,15
2,18,375,Exp_1987DuBois,7.65,1,15
2,18,500,Exp_1987DuBois,7.55,1,15
2,36,16.7,Exp_1987DuBois,1.37,1,25
2,36,33.3,Exp_1987DuBois,4.69,1,15
2,36,50,Exp_1987DuBois,7.22,1,15
2,36,66.7,Exp_1987DuBois,8.84,1,15
2,36,50,Exp_1987DuBois,8.03,1,15
2,36,75,Exp_1987DuBois,11.3,1,15
2,36,100,Exp_1987DuBois,10.4,1,15
2,36,175,Exp_1987DuBois,12.6,1,15
2,36,250,Exp_1987DuBois,10.2,1,15
2,36,375,Exp_1987DuBois,8.73,1,15
2,36,500,Exp_1987DuBois,8.79,1,15
1,2,750,Exp_2003Cavalcanti,23.5e-18,1,10
1,2,1000,Exp_2003Cavalcanti,18.9e-18,1,8
1,2,1500,Exp_2003Cavalcanti,13.1e-18,1,8
1,2,2000,Exp_2003Cavalcanti,11.3e-18,1,6
1,2,2500,Exp_2003Cavalcanti,9.4e-18,1,12
1,2,3000,Exp_2003Cavalcanti,8.5e-18,1,5
1,2,3500,Exp_2003Cavalcanti,6.6e-18,1,5
1,18,750,Exp_2003Cavalcanti,132e-18,1,10
1,18,1000,Exp_2003Cavalcanti,110e-18,1,10
1,18,1500,Exp_2003Cavalcanti,81e-18,1,15
1,18,2000,Exp_2003Cavalcanti,63.3e-18,1,15
1,18,2500,Exp_2003Cavalcanti,62e-18,1,16
1,18,3000,Exp_2003Cavalcanti,45.3e-18,1,5
1,18,3500,Exp_2003Cavalcanti,40.2e-18,1,4
1,36,750,Exp_2003Cavalcanti,151e-18,1,16
1,36,1000,Exp_2003Cavalcanti,128.5e-18,1,6
1,36,1500,Exp_2003Cavalcanti,95.2e-18,1,9
1,36,2000,Exp_2003Cavalcanti,71e-18,1,10
1,36,2500,Exp_2003Cavalcanti,65.4e-18,1,9
1,36,3000,Exp_2003Cavalcanti,57.1e-18,1,7
1,36,3500,Exp_2003Cavalcanti,44.1e-18,1,7
1,54,750,Exp_2003Cavalcanti,178e-18,1,8
1,54,1000,Exp_2003Cavalcanti,140.9e-18,1,5
1,54,1500,Exp_2003Cavalcanti,104.7e-18,1,9
1,54,2000,Exp_2003Cavalcanti,73.4e-18,1,12
1,54,2500,Exp_2003Cavalcanti,74.2e-18,1,7
1,54,3000,Exp_2003Cavalcanti,55.2e-18,1,9
1,54,3500,Exp_2003Cavalcanti,48.9e-18,1,6
